   HEX            Decimal            Binary
------------------------------------------------
    0                0                0000B
    1                1                0001B
    2                2                0010B
    3                3                0011B
    4                4                0100B
    5                5                0101B
    6                6                0110B
    7                7                0111B
    8                8                1000B
    9                9                1001B
    A                10               1010B
    B                11               1011B
    C                12               1100B
    D                13               1101B
    E                14               1110B
    F                15               1111B
